2020-04-30 14:45:00,334 [MainThread  ] Experiment road_map_det_bce
2020-04-30 14:45:00,335 [MainThread  ] Receive config Namespace(batch_size=16, beta_ema=0.5, blobs_strategy='encoder_fused', cache_neg=0, clip=0.5, data_dir='./data/', detect_objects=False, device='cuda:0', dup_pos=0, exp_dir='./results/road_map_det_bce', exp_name='road_map_det_bce', finetune_ckpt_interval=0, finetune_learning_rate=0.01, finetune_obj='det_encoder', finetune_tasks=['custom_sup'], finetune_total_iters=200000, finetune_val_interval=2000, finetune_weight_decay=1e-05, gen_road_map=True, image_folder='/scratch/kk4161/DL_project/data', image_pretrain_obj='none', imagessl_load_ckpt='none', lambda_pirl=0.5, latent_dim=128, network_base='resnet18', num_negatives=1000, num_patches=9, num_queries=2, num_queries_percentage=0.25, num_workers=16, obj_det_head='retinanet', pretrain_ckpt_interval=0, pretrain_learning_rate=0.01, pretrain_task=['custom_un_image'], pretrain_total_iters=100000, pretrain_val_interval=2000, pretrain_weight_decay=1e-05, project_dim=128, report_interval=250, results_dir='./results/', road_map_loss='bce', sampling_type='image', synthesizer_nlayers=2, transfer_paradigm='tunable', use_memory_bank=1, view='normal', view_fusion_strategy='concat', view_pretrain_obj='none', viewssl_load_ckpt='none', vocab_size=64, warmup_iters=100)
2020-04-30 14:45:00,335 [MainThread  ] Start creating tasks
2020-04-30 14:45:00,335 [MainThread  ] Start loading data
2020-04-30 14:45:00,336 [MainThread  ] Loading custom_sup data
2020-04-30 14:45:00,826 [MainThread  ] Start creating models
2020-04-30 14:45:01,265 [MainThread  ] Loaded supervised model
2020-04-30 14:45:15,966 [MainThread  ] Setup trainer for custom_sup
2020-04-30 14:45:15,967 [MainThread  ] Start training custom_sup
2020-04-30 14:46:55,607 [MainThread  ] train batch 93 / 157 (iter 250), current average result {'loss': tensor(0.4676, grad_fn=<DivBackward0>), 'recon_loss': tensor(0.4676, grad_fn=<DivBackward0>), 'ts_road_map': tensor(0.4761, grad_fn=<DivBackward0>)}
2020-04-30 14:48:28,633 [MainThread  ] train batch 29 / 157 (iter 500), current average result {'loss': tensor(0.3849, grad_fn=<DivBackward0>), 'recon_loss': tensor(0.3849, grad_fn=<DivBackward0>), 'ts_road_map': tensor(0.5567, grad_fn=<DivBackward0>)}
2020-04-30 14:49:54,931 [MainThread  ] train batch 122 / 157 (iter 750), current average result {'loss': tensor(0.3349, grad_fn=<DivBackward0>), 'recon_loss': tensor(0.3349, grad_fn=<DivBackward0>), 'ts_road_map': tensor(0.6069, grad_fn=<DivBackward0>)}
slurmstepd: error: *** JOB 9473039 ON gpu-61 CANCELLED AT 2020-04-30T14:51:27 ***
